;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
4-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-9-2015;6:30-6:44;56;2;4;0;1;0;0;0;0;0;0;0;7;13;0;4;9;30
4-9-2015;6:45-6:59;25;2;2;2;1;1;0;0;0;0;0;0;6;3;2;3;6;13
4-9-2015;7:00-7:14;80;6;0;2;0;0;0;0;0;0;2;0;17;14;0;3;19;33
4-9-2015;7:15-7:29;59;2;0;5;0;0;1;0;0;0;2;0;10;6;4;7;16;22
4-9-2015;7:30-7:44;209;6;4;8;7;0;0;1;0;0;4;4;13;13;14;70;67;50
4-9-2015;7:45-7:59;266;9;3;6;9;1;0;0;0;0;9;2;11;10;10;154;58;40
4-9-2015;8:00-8:14;668;19;6;11;6;5;0;0;0;0;58;4;22;19;27;274;174;137
4-9-2015;8:15-8:29;781;13;5;16;11;2;0;0;0;0;38;8;19;25;37;176;229;296
4-9-2015;8:30-8:44;806;19;7;17;5;2;0;3;0;0;77;6;19;19;26;145;224;343
4-9-2015;8:45-8:59;416;2;14;10;2;1;1;0;0;0;35;4;23;8;9;136;123;108
4-9-2015;9:00-9:14;303;62;2;0;0;0;0;0;0;0;116;2;14;13;15;69;48;90
4-9-2015;9:15-9:29;663;8;4;3;0;0;0;1;0;0;27;8;20;11;22;141;175;275
4-9-2015;9:30-9:44;115;2;4;4;3;1;0;0;0;0;4;1;5;2;2;31;46;38
4-9-2015;9:45-9:59;91;70;1;4;2;1;0;0;0;0;2;13;10;5;10;54;31;44
4-9-2015;10:00-10:14;76;2;2;4;1;0;1;0;0;0;8;0;2;1;9;5;37;24
4-9-2015;10:15-10:29;457;3;1;2;0;2;1;0;0;0;13;3;17;5;40;140;116;132
4-9-2015;10:30-10:44;205;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;98
4-9-2015;10:45-10:59;103;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;2
4-9-2015;11:00-11:14;60;1;3;3;12;4;1;0;0;0;3;3;4;3;8;25;33;5
4-9-2015;11:15-11:29;59;1;0;0;0;0;0;0;0;0;3;4;4;0;1;20;28;0
4-9-2015;11:30-11:44;59;4;1;7;3;0;0;0;0;0;4;1;6;3;1;31;25;3
4-9-2015;11:45-11:59;146;6;0;2;0;1;1;0;0;0;5;2;8;5;1;73;56;6
4-9-2015;12:00-12:14;191;4;2;0;0;0;0;0;0;0;18;1;11;5;12;65;71;14
4-9-2015;12:15-12:29;84;2;0;4;4;2;0;1;0;0;9;1;4;3;11;23;30;16
4-9-2015;12:30-12:44;236;12;4;9;7;2;0;0;0;0;4;7;8;11;36;79;101;24
4-9-2015;12:45-12:59;75;1;1;1;3;4;1;1;0;0;1;3;11;2;2;32;29;7
4-9-2015;13:00-13:14;192;5;1;4;4;2;0;1;0;0;5;4;8;5;4;111;61;11
4-9-2015;13:15-13:29;148;3;0;7;0;1;2;0;0;0;3;6;23;9;2;68;43;7
4-9-2015;13:30-13:44;45;1;0;0;1;0;0;0;0;0;4;2;7;3;0;13;10;8
4-9-2015;13:45-13:59;36;0;0;1;9;2;2;0;0;0;1;0;8;4;4;13;9;11
4-9-2015;14:00-14:14;90;2;2;4;4;0;0;0;0;0;8;3;7;5;16;25;29;9
4-9-2015;14:15-14:29;44;2;2;3;0;0;0;0;0;0;3;5;2;0;9;14;14;4
4-9-2015;14:30-14:44;24;2;0;1;1;1;1;0;0;0;0;2;1;2;3;6;9;7
4-9-2015;14:45-14:59;71;1;0;3;3;0;0;1;0;0;1;1;9;5;12;4;38;9
4-9-2015;15:00-15:14;62;3;2;4;2;3;2;0;0;0;6;2;5;4;6;18;27;10
4-9-2015;15:15-15:29;40;1;0;0;1;0;0;0;0;0;5;3;6;5;3;10;8;2
4-9-2015;15:30-15:44;62;2;2;6;2;0;0;0;0;0;8;5;7;9;4;20;19;2
4-9-2015;15:45-15:59;28;2;0;0;2;3;0;0;0;0;3;1;6;2;1;5;13;4
4-9-2015;16:00-16:14;29;3;0;3;0;0;0;0;0;0;3;5;7;1;2;8;3;6
4-9-2015;16:15-16:29;52;5;0;4;1;0;0;1;0;0;4;6;12;9;6;8;7;11
4-9-2015;16:30-16:44;35;3;4;5;3;1;0;0;0;0;0;3;7;3;2;9;21;6
4-9-2015;16:45-16:59;16;2;1;0;3;5;0;0;0;0;3;3;7;2;0;5;5;2
4-9-2015;17:00-17:14;9;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;3;2
4-9-2015;17:15-17:29;26;0;0;0;2;0;0;0;0;0;0;4;4;4;3;1;8;4
4-9-2015;17:30-17:44;18;2;2;1;0;0;0;0;0;0;4;3;2;3;3;2;5;1
4-9-2015;17:45-17:59;36;0;1;1;1;0;0;0;0;0;1;8;13;9;1;0;5;2
4-9-2015;18:00-18:14;17;0;0;0;0;0;0;0;0;0;1;0;5;1;2;1;4;3
4-9-2015;18:15-18:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-9-2015;18:30-18:44;27;2;4;0;1;0;0;0;0;0;1;0;14;3;4;0;11;1
4-9-2015;18:45-18:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
